NORTE,Villa Hortencia,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Polygon"", ""coordinates"": [ [ [ -60.782036, -32.874289 ], [ -60.699268, -32.870875 ], [ -60.697999, -32.871205 ], [ -60.692753, -32.870531 ], [ -60.691787, -32.869598 ], [ -60.691178, -32.869250 ], [ -60.689744, -32.869449 ], [ -60.688201, -32.870079 ], [ -60.687547, -32.873415 ], [ -60.687184, -32.874702 ], [ -60.687565, -32.875257 ], [ -60.686913, -32.876361 ], [ -60.686784, -32.876760 ], [ -60.686594, -32.879041 ], [ -60.686326, -32.880919 ], [ -60.686567, -32.882908 ], [ -60.686785, -32.884214 ], [ -60.686678, -32.885028 ], [ -60.686450, -32.886920 ], [ -60.686363, -32.887924 ], [ -60.685881, -32.889170 ], [ -60.684865, -32.891945 ], [ -60.684603, -32.892217 ], [ -60.684268, -32.892857 ], [ -60.683229, -32.892846 ], [ -60.682928, -32.893039 ], [ -60.682784, -32.893901 ], [ -60.682380, -32.895433 ], [ -60.681755, -32.897472 ], [ -60.680803, -32.899039 ], [ -60.679480, -32.901422 ], [ -60.676708, -32.903977 ], [ -60.676280, -32.904872 ], [ -60.675953, -32.906531 ], [ -60.675106, -32.906951 ], [ -60.673873, -32.911049 ], [ -60.672538, -32.911965 ], [ -60.671948, -32.913475 ], [ -60.671065, -32.914165 ], [ -60.666882, -32.920417 ], [ -60.653101, -32.928100 ], [ -60.651425, -32.928586 ], [ -60.648685, -32.930490 ], [ -60.648736, -32.930514 ], [ -60.650214, -32.930528 ], [ -60.649865, -32.930836 ], [ -60.649902, -32.930985 ], [ -60.650190, -32.931267 ], [ -60.650435, -32.931207 ], [ -60.650599, -32.931086 ], [ -60.650993, -32.930929 ], [ -60.651464, -32.930889 ], [ -60.653021, -32.930924 ], [ -60.653775, -32.931095 ], [ -60.653970, -32.931102 ], [ -60.655253, -32.930930 ], [ -60.660075, -32.931083 ], [ -60.660187, -32.931152 ], [ -60.661456, -32.931193 ], [ -60.662629, -32.931221 ], [ -60.663166, -32.931245 ], [ -60.664901, -32.931810 ], [ -60.664918, -32.931816 ], [ -60.665413, -32.931978 ], [ -60.665924, -32.932146 ], [ -60.666141, -32.932217 ], [ -60.666699, -32.932400 ], [ -60.667257, -32.932584 ], [ -60.667694, -32.932730 ], [ -60.668112, -32.932855 ], [ -60.668368, -32.932918 ], [ -60.668627, -32.932976 ], [ -60.668899, -32.933034 ], [ -60.669206, -32.933084 ], [ -60.669859, -32.933169 ], [ -60.670462, -32.933225 ], [ -60.671023, -32.933268 ], [ -60.671231, -32.933390 ], [ -60.682100, -32.933656 ], [ -60.682218, -32.933681 ], [ -60.682306, -32.933603 ], [ -60.683595, -32.932489 ], [ -60.685691, -32.930925 ], [ -60.685816, -32.930823 ], [ -60.686304, -32.930418 ], [ -60.686431, -32.930303 ], [ -60.686941, -32.929878 ], [ -60.688647, -32.928449 ], [ -60.688636, -32.928396 ], [ -60.688913, -32.928128 ], [ -60.689012, -32.928023 ], [ -60.689239, -32.927744 ], [ -60.689303, -32.927651 ], [ -60.689495, -32.927408 ], [ -60.689703, -32.927029 ], [ -60.689807, -32.926865 ], [ -60.689993, -32.926412 ], [ -60.690002, -32.926317 ], [ -60.690053, -32.926158 ], [ -60.690088, -32.926093 ], [ -60.690148, -32.925873 ], [ -60.690208, -32.925775 ], [ -60.690367, -32.925331 ], [ -60.690557, -32.925258 ], [ -60.691557, -32.922502 ], [ -60.691373, -32.922498 ], [ -60.691462, -32.922269 ], [ -60.691655, -32.922207 ], [ -60.692276, -32.921877 ], [ -60.692601, -32.921590 ], [ -60.692927, -32.921304 ], [ -60.693326, -32.921318 ], [ -60.693454, -32.921221 ], [ -60.693681, -32.919650 ], [ -60.693882, -32.919659 ], [ -60.694315, -32.918433 ], [ -60.694765, -32.917588 ], [ -60.695487, -32.916553 ], [ -60.696455, -32.915493 ], [ -60.697706, -32.914447 ], [ -60.699577, -32.912989 ], [ -60.720221, -32.894997 ], [ -60.723406, -32.895772 ], [ -60.728023, -32.896874 ], [ -60.728251, -32.896928 ], [ -60.728821, -32.897064 ], [ -60.729050, -32.897119 ], [ -60.740131, -32.899762 ], [ -60.743098, -32.900469 ], [ -60.745218, -32.900975 ], [ -60.747126, -32.901429 ], [ -60.747444, -32.901505 ], [ -60.771295, -32.902160 ], [ -60.768129, -32.895962 ], [ -60.770641, -32.896033 ], [ -60.771142, -32.885289 ], [ -60.781249, -32.885678 ], [ -60.782036, -32.874289 ] ] ] } }"
NOROESTE,Olga y Leticia Cossettini,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Polygon"", ""coordinates"": [ [ [ -60.770641, -32.896033 ], [ -60.768129, -32.895962 ], [ -60.771295, -32.902160 ], [ -60.747444, -32.901505 ], [ -60.747126, -32.901429 ], [ -60.745218, -32.900975 ], [ -60.743098, -32.900469 ], [ -60.740131, -32.899762 ], [ -60.729050, -32.897119 ], [ -60.728821, -32.897064 ], [ -60.728251, -32.896928 ], [ -60.728023, -32.896874 ], [ -60.723406, -32.895772 ], [ -60.720221, -32.894997 ], [ -60.699577, -32.912989 ], [ -60.697706, -32.914447 ], [ -60.696455, -32.915493 ], [ -60.695487, -32.916553 ], [ -60.694765, -32.917588 ], [ -60.694315, -32.918433 ], [ -60.693882, -32.919659 ], [ -60.693681, -32.919650 ], [ -60.693454, -32.921221 ], [ -60.693326, -32.921318 ], [ -60.692927, -32.921304 ], [ -60.692601, -32.921590 ], [ -60.692276, -32.921877 ], [ -60.691655, -32.922207 ], [ -60.691462, -32.922269 ], [ -60.691373, -32.922498 ], [ -60.691557, -32.922502 ], [ -60.690557, -32.925258 ], [ -60.690367, -32.925331 ], [ -60.690208, -32.925775 ], [ -60.690148, -32.925873 ], [ -60.690088, -32.926093 ], [ -60.690053, -32.926158 ], [ -60.690002, -32.926317 ], [ -60.689993, -32.926412 ], [ -60.689807, -32.926865 ], [ -60.689703, -32.927029 ], [ -60.689495, -32.927408 ], [ -60.689303, -32.927651 ], [ -60.689239, -32.927744 ], [ -60.689012, -32.928023 ], [ -60.688913, -32.928128 ], [ -60.688636, -32.928396 ], [ -60.688647, -32.928449 ], [ -60.686941, -32.929878 ], [ -60.686431, -32.930303 ], [ -60.686304, -32.930418 ], [ -60.685816, -32.930823 ], [ -60.685691, -32.930925 ], [ -60.683595, -32.932489 ], [ -60.682306, -32.933603 ], [ -60.682218, -32.933681 ], [ -60.681945, -32.933902 ], [ -60.680987, -32.934726 ], [ -60.680897, -32.934757 ], [ -60.680331, -32.935234 ], [ -60.680322, -32.935324 ], [ -60.679819, -32.935734 ], [ -60.679644, -32.935838 ], [ -60.678718, -32.936637 ], [ -60.678391, -32.936909 ], [ -60.677468, -32.937691 ], [ -60.677383, -32.937745 ], [ -60.677439, -32.937967 ], [ -60.692872, -32.935198 ], [ -60.692870, -32.935287 ], [ -60.692831, -32.936497 ], [ -60.692897, -32.936601 ], [ -60.692753, -32.941907 ], [ -60.692501, -32.942125 ], [ -60.692331, -32.946879 ], [ -60.692493, -32.946992 ], [ -60.692458, -32.947886 ], [ -60.692450, -32.948046 ], [ -60.722068, -32.948827 ], [ -60.721945, -32.951311 ], [ -60.735731, -32.951622 ], [ -60.735661, -32.950476 ], [ -60.744737, -32.950563 ], [ -60.760504, -32.950947 ], [ -60.760047, -32.950282 ], [ -60.757545, -32.948651 ], [ -60.761748, -32.948800 ], [ -60.783198, -32.949315 ], [ -60.783580, -32.949056 ], [ -60.783411, -32.948307 ], [ -60.782232, -32.947584 ], [ -60.781842, -32.946853 ], [ -60.781335, -32.946771 ], [ -60.778247, -32.945170 ], [ -60.777662, -32.945142 ], [ -60.774089, -32.941206 ], [ -60.774439, -32.939673 ], [ -60.773727, -32.939131 ], [ -60.770906, -32.938023 ], [ -60.770477, -32.937326 ], [ -60.769104, -32.937298 ], [ -60.769106, -32.936686 ], [ -60.769732, -32.936725 ], [ -60.769731, -32.936569 ], [ -60.768908, -32.936010 ], [ -60.768812, -32.933928 ], [ -60.768279, -32.933127 ], [ -60.766712, -32.931903 ], [ -60.766237, -32.931126 ], [ -60.766078, -32.930841 ], [ -60.766108, -32.929337 ], [ -60.765914, -32.927539 ], [ -60.765762, -32.927124 ], [ -60.765326, -32.926899 ], [ -60.764814, -32.926818 ], [ -60.763751, -32.926226 ], [ -60.763458, -32.926018 ], [ -60.763062, -32.925451 ], [ -60.762718, -32.925147 ], [ -60.762160, -32.924570 ], [ -60.761855, -32.923798 ], [ -60.764881, -32.923519 ], [ -60.768475, -32.923137 ], [ -60.774780, -32.922486 ], [ -60.776965, -32.921933 ], [ -60.782476, -32.915488 ], [ -60.788236, -32.908746 ], [ -60.797102, -32.896870 ], [ -60.770641, -32.896033 ] ] ] } }"
CENTRO,Antonio Berni,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Polygon"", ""coordinates"": [ [ [ -60.692450, -32.948046 ], [ -60.692458, -32.947886 ], [ -60.692493, -32.946992 ], [ -60.692331, -32.946879 ], [ -60.692501, -32.942125 ], [ -60.692753, -32.941907 ], [ -60.692897, -32.936601 ], [ -60.692831, -32.936497 ], [ -60.692870, -32.935287 ], [ -60.692872, -32.935198 ], [ -60.677439, -32.937967 ], [ -60.677383, -32.937745 ], [ -60.677468, -32.937691 ], [ -60.678391, -32.936909 ], [ -60.678718, -32.936637 ], [ -60.679644, -32.935838 ], [ -60.679819, -32.935734 ], [ -60.680322, -32.935324 ], [ -60.680331, -32.935234 ], [ -60.680897, -32.934757 ], [ -60.680987, -32.934726 ], [ -60.681945, -32.933902 ], [ -60.682218, -32.933681 ], [ -60.682100, -32.933656 ], [ -60.671231, -32.933390 ], [ -60.671023, -32.933268 ], [ -60.670462, -32.933225 ], [ -60.669859, -32.933169 ], [ -60.669206, -32.933084 ], [ -60.668899, -32.933034 ], [ -60.668627, -32.932976 ], [ -60.668368, -32.932918 ], [ -60.668112, -32.932855 ], [ -60.667694, -32.932730 ], [ -60.667257, -32.932584 ], [ -60.666699, -32.932400 ], [ -60.666141, -32.932217 ], [ -60.665924, -32.932146 ], [ -60.665413, -32.931978 ], [ -60.664918, -32.931816 ], [ -60.664901, -32.931810 ], [ -60.663166, -32.931245 ], [ -60.662629, -32.931221 ], [ -60.661456, -32.931193 ], [ -60.660187, -32.931152 ], [ -60.660075, -32.931083 ], [ -60.655253, -32.930930 ], [ -60.653970, -32.931102 ], [ -60.653775, -32.931095 ], [ -60.653021, -32.930924 ], [ -60.651464, -32.930889 ], [ -60.650993, -32.930929 ], [ -60.650599, -32.931086 ], [ -60.650435, -32.931207 ], [ -60.650190, -32.931267 ], [ -60.649902, -32.930985 ], [ -60.649865, -32.930836 ], [ -60.650214, -32.930528 ], [ -60.648736, -32.930514 ], [ -60.648685, -32.930490 ], [ -60.648599, -32.930473 ], [ -60.646413, -32.931704 ], [ -60.638918, -32.936224 ], [ -60.637426, -32.937154 ], [ -60.633442, -32.940679 ], [ -60.629047, -32.945051 ], [ -60.626343, -32.948478 ], [ -60.623521, -32.952854 ], [ -60.621590, -32.956519 ], [ -60.619860, -32.960590 ], [ -60.618630, -32.964942 ], [ -60.617818, -32.969311 ], [ -60.617633, -32.971614 ], [ -60.617831, -32.971882 ], [ -60.617887, -32.971881 ], [ -60.617895, -32.971725 ], [ -60.618418, -32.971750 ], [ -60.618450, -32.971243 ], [ -60.618940, -32.971267 ], [ -60.619706, -32.971835 ], [ -60.620741, -32.971648 ], [ -60.621775, -32.971460 ], [ -60.642013, -32.967858 ], [ -60.643152, -32.972455 ], [ -60.659787, -32.969478 ], [ -60.667701, -32.968072 ], [ -60.667856, -32.968098 ], [ -60.668622, -32.967543 ], [ -60.669281, -32.967685 ], [ -60.669996, -32.967667 ], [ -60.670652, -32.967433 ], [ -60.671182, -32.967100 ], [ -60.672058, -32.967291 ], [ -60.671997, -32.967174 ], [ -60.668270, -32.952381 ], [ -60.692450, -32.948046 ] ] ] } }"
SUDOESTE,_,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Polygon"", ""coordinates"": [ [ [ -60.690163, -33.034844 ], [ -60.689644, -33.001923 ], [ -60.689327, -32.978447 ], [ -60.689005, -32.978418 ], [ -60.685642, -32.964848 ], [ -60.672058, -32.967291 ], [ -60.671182, -32.967100 ], [ -60.670652, -32.967433 ], [ -60.669996, -32.967667 ], [ -60.669281, -32.967685 ], [ -60.668622, -32.967543 ], [ -60.667856, -32.968098 ], [ -60.667701, -32.968072 ], [ -60.659787, -32.969478 ], [ -60.664506, -32.988186 ], [ -60.653292, -33.005077 ], [ -60.652983, -33.005195 ], [ -60.650583, -33.008751 ], [ -60.652841, -33.019177 ], [ -60.654244, -33.025344 ], [ -60.655544, -33.026056 ], [ -60.656551, -33.026180 ], [ -60.657513, -33.025824 ], [ -60.658477, -33.025665 ], [ -60.659770, -33.025881 ], [ -60.661682, -33.026435 ], [ -60.662066, -33.026133 ], [ -60.663938, -33.026295 ], [ -60.664944, -33.026230 ], [ -60.665370, -33.026116 ], [ -60.669382, -33.026197 ], [ -60.671137, -33.027274 ], [ -60.672063, -33.027449 ], [ -60.672787, -33.027719 ], [ -60.673509, -33.027681 ], [ -60.674650, -33.028494 ], [ -60.675055, -33.028355 ], [ -60.675881, -33.028599 ], [ -60.676662, -33.028466 ], [ -60.677108, -33.028181 ], [ -60.677836, -33.027671 ], [ -60.678140, -33.027567 ], [ -60.678333, -33.027600 ], [ -60.678488, -33.027822 ], [ -60.678296, -33.028012 ], [ -60.678207, -33.028363 ], [ -60.678433, -33.028722 ], [ -60.679580, -33.028433 ], [ -60.680857, -33.029180 ], [ -60.681893, -33.029514 ], [ -60.683204, -33.029618 ], [ -60.683888, -33.030069 ], [ -60.684064, -33.030393 ], [ -60.683997, -33.030916 ], [ -60.684855, -33.031408 ], [ -60.685562, -33.032301 ], [ -60.686302, -33.033334 ], [ -60.687121, -33.034049 ], [ -60.688488, -33.034598 ], [ -60.689638, -33.034832 ], [ -60.690163, -33.034844 ] ] ] } }"
OESTE,Felipe More,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Polygon"", ""coordinates"": [ [ [ -60.760504, -32.950947 ], [ -60.744737, -32.950563 ], [ -60.735661, -32.950476 ], [ -60.735731, -32.951622 ], [ -60.721945, -32.951311 ], [ -60.722068, -32.948827 ], [ -60.692450, -32.948046 ], [ -60.668270, -32.952381 ], [ -60.671997, -32.967174 ], [ -60.672058, -32.967291 ], [ -60.685642, -32.964848 ], [ -60.689005, -32.978418 ], [ -60.689327, -32.978447 ], [ -60.689644, -33.001923 ], [ -60.690163, -33.034844 ], [ -60.690515, -33.035222 ], [ -60.690904, -33.035696 ], [ -60.690986, -33.036408 ], [ -60.691740, -33.037587 ], [ -60.692042, -33.037845 ], [ -60.692512, -33.038036 ], [ -60.694164, -33.037955 ], [ -60.694571, -33.037772 ], [ -60.695540, -33.037955 ], [ -60.696055, -33.038103 ], [ -60.696907, -33.038690 ], [ -60.697637, -33.038967 ], [ -60.698150, -33.038914 ], [ -60.698741, -33.038968 ], [ -60.701856, -33.034713 ], [ -60.704256, -33.031076 ], [ -60.707232, -33.026750 ], [ -60.707419, -33.026591 ], [ -60.709097, -33.024795 ], [ -60.710270, -33.024824 ], [ -60.712813, -33.021979 ], [ -60.715617, -33.018727 ], [ -60.717029, -33.015685 ], [ -60.717174, -33.015648 ], [ -60.719317, -33.011055 ], [ -60.720920, -33.007529 ], [ -60.726738, -33.007661 ], [ -60.729887, -32.999515 ], [ -60.733122, -32.990659 ], [ -60.735802, -32.983790 ], [ -60.736204, -32.979724 ], [ -60.734466, -32.973988 ], [ -60.732690, -32.964376 ], [ -60.760846, -32.965254 ], [ -60.761507, -32.953398 ], [ -60.760504, -32.950947 ] ] ] } }"
SUR,Rosa Ziperovich,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Polygon"", ""coordinates"": [ [ [ -60.659787, -32.969478 ], [ -60.643152, -32.972455 ], [ -60.642013, -32.967858 ], [ -60.621775, -32.971460 ], [ -60.620741, -32.971648 ], [ -60.619706, -32.971835 ], [ -60.618940, -32.971267 ], [ -60.618450, -32.971243 ], [ -60.618418, -32.971750 ], [ -60.617895, -32.971725 ], [ -60.617887, -32.971881 ], [ -60.617831, -32.971882 ], [ -60.617610, -32.972082 ], [ -60.617165, -32.983589 ], [ -60.616037, -32.985964 ], [ -60.615574, -32.992503 ], [ -60.614875, -32.993308 ], [ -60.613004, -32.994791 ], [ -60.611827, -32.997613 ], [ -60.611946, -32.998123 ], [ -60.613788, -32.998896 ], [ -60.614538, -32.999555 ], [ -60.615665, -33.000364 ], [ -60.616510, -33.000841 ], [ -60.617356, -33.001093 ], [ -60.618800, -33.001541 ], [ -60.619755, -33.002227 ], [ -60.620088, -33.003067 ], [ -60.620907, -33.004788 ], [ -60.621840, -33.004699 ], [ -60.623391, -33.004449 ], [ -60.624912, -33.004806 ], [ -60.625131, -33.004682 ], [ -60.625565, -33.004708 ], [ -60.625993, -33.004852 ], [ -60.630223, -33.008323 ], [ -60.631594, -33.009086 ], [ -60.633540, -33.011052 ], [ -60.633458, -33.012536 ], [ -60.634289, -33.014199 ], [ -60.634958, -33.014410 ], [ -60.637197, -33.015299 ], [ -60.637386, -33.016518 ], [ -60.637478, -33.017254 ], [ -60.638159, -33.017358 ], [ -60.638750, -33.017951 ], [ -60.639106, -33.018020 ], [ -60.639450, -33.017796 ], [ -60.643441, -33.018581 ], [ -60.644115, -33.018971 ], [ -60.646136, -33.020498 ], [ -60.649466, -33.022658 ], [ -60.654244, -33.025344 ], [ -60.652841, -33.019177 ], [ -60.650583, -33.008751 ], [ -60.652983, -33.005195 ], [ -60.653292, -33.005077 ], [ -60.664506, -32.988186 ], [ -60.659787, -32.969478 ] ] ] } }"
